Rating,Product_ID,Review_text,Output
1,B00006JKZX,"unit came on time box looked in great condition i was wrong .i had read reviews about packageing and since everyone like the unit i decided to order it anyway bad move was dented, metal twisted,. knob broken off.none of it was amazons fault .its all on sanyo poorest packageing i have ever seen may be great unit but not worth it",Defect
4,B00006JKZX,"I purchased the Sanyo kegerator as a surprise gift for my husband's 40th birthday. He's wanted one of these FOREVER. He's brewed his own beer in the past and has wanted to do it again for awhile and this purchase will enable him to do that without all the bottling etc. As other reviewers have mentioned, having received and been using this product for nearly a month now, it is a great deal in this price category. It functions very well, stays cold, assembly was very straightforward. We are enjoying it.

Having said all that, I must caution the purchaser that Amazon has not figured out how to ship this without damaging it. The first attempt to ship this to us, on time BEFORE my husband's birthday, failed miserably. Apparently it was damaged so badly during shipping that UPS deemed it undeliverable. Guess what? Birthday surprise ruined because now the item wouldn't make it in time for his birthday. After contacting Amazon a replacement was ordered and shipped immediately. We were out of town to receive that shipment but it arrived on time and was put in our garage. When we got home and my husband opened it we were very disappointed to find nearly every side of the kegerator was damaged in some way... scratched, dented etc. However, it was obvious that the machine would still work, so we decided to see if Amazon would reduce the price and if so, we'd keep it damaged. I have to say that through all of this process, the Amazon customer service representatives that I dealt with were incredibly helpful and always looking for how to make this right for us.

All in all, I'd recommend this product.",Defect
3,B00006JKZX,"I purchased this product based on many hours of research and favorable product reviews.  The best feature about this is that this Keg Cooler will hold all stiles of kegs, even the Coors kegs, witch seem to be a problem with many of the cheaper keg coolers.  The Keg cooler also keeps the beer very cold, I recently had a party and the keg cooler was outside in 90 degree heat and still kept the beer at 34 degrees..

My only issue is with the shipping.  This is also something I had read on many reviews,and the only reason this only got 3 out of 5 stars..  It took three attempts before I got a keg cooler that was not damaged.  The first two showed up so damaged that I refused shipment delivery.  The first one was so damaged even the delivery driver was surprised.  I think there are two problems with the shipping.  First the keg cooler is not packed well. This has to be the fault of the manufacturer.  The second is UPS,  this is 90+ pounds and I think the guys loading it just don't care and instead of picking it up they flip it end for end or roll it around.

Don't get me wrong I love the keg cooler but I think I would not get one online after this experience.  I would try and find someone local and get it from them.  This way you can inspect it before you purchase it..",No defect
4,B00006JKZX,"This prduct came fairly well shipped. There was a small ding on the back metal housing but that was easy to fix.  The temp controller seems a bit finnicky but it can definitely get the beer cold enough.  I even froze a glass of water that I had in there to check the temp.  The drip tray is just plain stupid but all the hardware (regulator, tap, tower) seem solid and well made.  There are certain things that let you know this kegerator is not top of the line but for the price it performs well and is worth having draft beer at home.",No defect
4,B00006JKZX,tubing for beer tap is only 3 ft - needs 5 -8 ft for better beer taste,No defect
1,B00006JKZX,Do not order this kegerator from amazon. It arrived damaged due to lack of proper packaging. Both sides of the kegerator were smashed in and the top was crooked. The packaging consisted of a 1/2 inch thick piece of styrofoam on top and nothing protecting the sides except for the cardboad box. If you are going to purchase this product (there are good reviews) get it from a store where you can check it out before purchasing.,Defect
3,B00006JKZX,"it is a good beer dispenser, very cold beer, nice looking unit.  most of the parts are good quality. had the haier(spelling issue) unit before, always had problems.  this  sanyo, so far, has exceeded the expectations.  the larger cooling panel is very helpful and needed.  the only complaint I have is the shipping.  unit arrived very beat up and battered.  not sanyo nor amazon's fault, just a common problem with anything shipped UPS. will attempt to get a resolution to that in the comming days. I will keep you posted. other very minor complaints, screw holes are not lined up well at all.  you will be best advised to tap your own holes before screwing anything down.  instructions are rather poor. if you don't already know about kegorators you will not know how to run this, research co2 adjustments and pressures first.  the castors on the bottom should be locking.  easy enough replacement if you have any handyman ability.  but manufacturer should have thought about that first.  and as you've read in other reviews, the drip pan is extremely half arsed and cheap.",Defect
5,B00006JKZX,"I've had this product a month now and its working out great.  The instructions are very detailed and allow someone with no kegerator experience to be up and running quickly.

The beer definitely tastes better and you can get any beer you want from BevMo.  I've been very pleased at how long a keg lasts!  I thought they would go bad quickly but I haven't had one go bad yet.",No defect
3,B00006JKZX,"This beer kegorator does work well but not right out of the box. so if you do not have time to tweek it I am not sure which way to go. there were dents all over the outside, the beer line was not long enough to clear the foam. because of the non cooled tower you must be ready to pour the first ounce into a spare glass then pour the real beer.",Defect
1,B00006JKZX,"I ordered this for my husband's Christmas gift. It arrived on Christmas Eve absolutely destroyed! We think it fell of a forklift. I sent it back for a replacement, only to get that one severely damaged on the top. The packaging is not nearly enough to protect such a large shipment. Finally got a refund and bought one locally after negotiating an internet price.",Defect
5,B00009V3UV,"After months of searching for gas drip pans and being told by various merchants that I had an ""old"" gas stove for which drip pans were no longer manufactured, I was thrilled to find these.  Unpon receipt, I was estatic!  These pans are beautiful and serve the purpose well.  Easy to clean and seems durable.  I ordered multiple sets.",No defect
5,B00009V3UV,"drip pans as expected, black metal enamel.  Now I know where I can get more.  I saw them in chrome also.  I'll get them next.",No defect
5,B00009V3UV,Purchased these for our camper stove. They fit well and really look nice. Can't even tell they are on the stove. Pans were packaged very well and delivered ahead of stated date.,No defect
4,B00009V3UV,The drip pan is durable and color coordinated with my stove.  The only disappointment was that it is approximatelu 1/2 inch smaller than I expected it to be; othwise I am satisfied with the quality of the product. The next time I will order a larger size.,No defect
4,B00009V3UV,Just what I ordered.  Old stove looks like new now. Just wish the bowl part of the bib was just a little wider.,No defect
5,B00009V3UV,My mom purchased a new stove that didn't have drip pans.  These were perfect and still holding up almost a year later.  Awesome product.,No defect
2,B00009V3UV,This one could not use water and detergent to clean.  The one with Chrome plating was easier to clean.,Defect
5,B00009V3UV,"I searched high and low on line and in specialty stores for this product.  One day I am searching for something else on Amazon and this item appeared (not sure how) anyway I bought 4 of them, they fit perfect and look great!  My stove top looks new again.",No defect
5,B00009V3UV,"Good as supposed to be. I've been looking for these simple but very useful things in shoping malls and couldn't find! Finally I've got them here and am very-very happy. From now, will always shop for them in Amazon.",No defect
3,B00009V3UF,The products were new and exactly what was needed. Unfortunately they didn't fit my gas range.  They were returned with no problem except I had to pay all the shipping (to me and back to them) which was almost what I paid for the product. I would buy from them again but I would make sure they fit what I needed.,Defect
2,B00009V3UF,"didn't quite fit our oven.  I used a drill to widen the holes and now it works well.

One size fits some --- not ALL.",Defect
1,B00009V3UF,Cheesy looking and no temperature on them,Defect
1,B00009V3UF,Have a cheap crapy stove and didn't fit,Defect
1,B00009V3UF,"Really couldn't give it any stars as it didn't fit my stove.  Even with the attachments that were provided, it still wouldn't fit. Had to return it. But I will say that the product looked nice, wish it would have fit, then I would have saved the $19 it cost to purchase from the company who made the stovetop. That was for one knob.",Defect
1,B00009V3UF,I'm disappointed. does not fit the model Frigidaire,Defect
4,B00009V3UF,"Not as wide as the original so two of them hit mounting screws for the top. They work good, you just need to get use to a new way of pushing down the two that have the conflict",No defect
3,B00009V3UF,"Universal knob fit the stove, but because the dials on my stove are a bit old and does not turn easily, the universal attachment had the knob sitting a bit high and does not provide adequate torque to turn knob.",No defect
1,B00009V3UF,did not work on my Kenmore gas range.  the knobs were not long enough to work properly on my gas range.  still looking for replacements.,Defect
1,B00009V3UF,"Tried on Maytag. No luck. Purchased O.E.M Expensive,& they work!.",Defect
3,B00009V3UF,"They'll do, I guess.  Something that I would use for a rental instead of a high-end kitchen.",No defect
4,B00009V3UF,Worked like a charm on a very old stove.,No defect
3,B00009V3UF,Expensive and melted after a while. Not sure why white knobs are more expensive.,Defect
1,B00009V3UF,Didn't fit - the extensions weren't long enough for my stove.,Defect
1,B00009V3UF,"This product does not fit my gas stove at all. It goes over the knobs but is too big so I am not able to push the buttons in to turn on the stove. Also, there is nothing preventing them from falling off like a stopper or something that clasps them onto the stove. I am unable to use this product at all and will be returning it .",Defect
1,B00009V3UF,"Our stove comes with the push in auto ignite feature, the fittings did not work for it. these were a waste of time for our whirlpool stove.",Defect
4,B00009V3UF,I wasn't sure if these would work for our GE gas range.  The fit perfectly and were easy to replace.  I wouldn't hesitate to purchase them again.,No defect
5,B00009V3UF,"Fit my stove, work great , look pretty. I would recommend them if I knew someone else who needed them .",No defect
3,B00009V3UF,"These knobs seem well made and the universal fit set up seems thought out. That said it did not fit my GE stove. Oh Well.... To be fair there are thousands of stoves out there and no ""universal fit"" set up will be really universal. I'll go to a local appliance parts place that I have an account at with a sample and the model number. 4 O.E.M. knobs probably $10 each, 4x the price of this kit.
KDM",No defect
3,B00009V3UF,"I have a GE gas stove and these didn't fit.  They seem to be good quality actually, even though they are real plain looking.  The problem is my stove has D-shaped knob shafts, and even the D-shape adapters on these knobs were too big for my stove.  I also see the problem with pulling and pushing the knobs, there'd be no way to pull these knobs unless you glue them on or something as another reviewer suggested.

I gave 3 stars because I think for the price, if you need knobs you might as well try these to see if they fit.  If they don't, just return them like I did.  If they had fit my stove I would've kept them and used them.",Defect
3,B00009V3UF,"They fit and the quality is okay.
The knobs are ivory, not white. The inlays are a shade of white, kind of grey. Neither the knob or the inlays are what is known as ""appliance white"", the norm for kitchen appliances and laundry machines. They do not come close to matching the color of the stove.
I bought these for a rental unit, so they are acceptable for the purpose. But I would choose black or chrome for my own home.",No defect
3,B00009V3UF,"Worked very fine, but doesn't look original. Would like to see more types of knobs available for the aftermarket consumer.",No defect
5,B00009V3UF,"Worked out great, had purchased a more expensive knob, and it just did not work out right. This one was a perfect fit due to the enclosed adapters.",No defect
1,B00009V3UF,"They don't even have ""on"", ""off"" or low, medium, high settings on them.  Very generic.  I ended up buying others. The connectors they provide to fit onto range didn't fit into their own knobs.",Defect
3,B00009V3UF,"These were bought to replace some very worn out  ones for a rental unit for a college student.  So they were OK.  Not very attractive or substantial. Did not have any temp gauge markings on the knobs. (Hi, Med., Low etc)  Fit is OK after some manipulations.",No defect
1,B00009V3UF,while the knob fits around peg on the stove the height is wrong.  I cannot turn on the stove with these knobs,Defect
2,B00009V3UF,I researched this product and it said it would fit my stove.  It did not and it cheaply made.  Thumbs down.,Defect
5,B00009V3UF,"I have a white Avanti gas range model # G2002CW. This item came with nice looking but flimsy knobs. Two of them had already easily broken. Those who own similar stoves know that you need to push the knobs in to get it to spark(clicking sound) for it to ignite the flame.

Anyway I looked everywhere for similar knobs but was unable to. Home Depot and Lowes only had standard universal ugly cheap looking black and silver knobs.

I went on the Avanti site and they had the same exact knobs which were expensive. I was weary of flimsy knobs so i was looking for the metal versions and they didn't exist.

Anyways I took a chance on this. The price was right and noticed that the universal adapters (btw they're small and large ""D"" shaped to fit where the knob connects the controls) fit perfectly. Also noticed that the plastic has a better and much stronger grip than the original knobs did and worked very well and were quite strong and more durable. It also come with metallic stick on labels so you can put the indicator whereever you want it.

Note for purchaser: Your best bet is to first push the universal adapters onto the metal ""D"" shaped control on your stove and THEN put the indicator sticker on the knob and then push it onto the adapter. They go in quite tight/snug and a bit difficult to take off(which is a good thing in this case as you will see).

It's been a few weeks now since I got this product and still going strong, looks great on my white stove and lovin it.

I highly recommend this product.",No defect
3,B00009V3UF,"considering the price to replace knobs from oem, this is a viable alternative if you don't mind an little ingenuity and tinkering, and ""not quite perfect"" feel afterwards.  They can be made functional.  I had to cut plastic pieces to insert in the bottom so the shaft would bottom out soon enough to engage the burner valve - i.e. 'push and turn'",Defect
3,B00009V3UF,"I wanted to replace a damaged knob that had a longer cylinder and none of ones that came with the kit were long enough and was not able to use this product.  I also considered replacing all of the knobs so they would match, but not enough of the cylinders were provided.",Defect
4,B00009V3UF,Knob covers do their job in keeping my grandsons little fingers from turning on the stove.  They are a little clumsy looking but worth it for keeping the twins safe.,No defect
3,B00009V3UF,"While this description says it will fit most gas ranges, it did not come close to fitting my GE profile cooktop knobs :(",Defect
1,B00009V3UF,"didn't fit at all,  for the price paid really expected a whole lot more.  money down the drain.  do not recommend.",Defect
4,B00009V3UF,"Bought these for my grandmothers stove. They fit decently, but when you pushed in the knob to turn on the gas they would just slide further in, rather than opening the valve. A little rubber cement fixed that though.",No defect
2,B00009V3UF,"I read the other reviews about the knobs not working because of issues with shaft length (please, stop giggling) but went ahead and ordered anyway because, hey, these are supposed to be universal, right? Wrong. They don't work on my gas cooktop either because, just as in those other reviews, they can't be pushed down to engage the igniter and turn properly. Oh, and they also look and feel really, really plasticky and cheap but, considering that the package of four costs less than the price of JUST ONE OEM knob for my stove, I wasn't expecting much and would have lived with them if they had worked properly.",Defect
1,B00009V3UF,"comes with 2 sets of adapters, but neither have a mechanism to stop the knob from sliding down too far, making it impossible to push down the knob to turn it as on most gas ranges.  also, the holes are not centered, so if you do manage to turn it, it follows a lopsided rotation.  smaller diameter than standard knob.  did not include extra overlays as advertised, only one set.  this product barely belongs in the dollar store!",Defect
3,B00009V3UF,"Fit the metal prod on my stove, but wouldn't push in the knob.  Tried filling it in with clay.  That worked well...until I used the oven.  Then the clay melted!  I might try plumber's putty if it's not flammable.",Defect
4,B00009V3UF,We needed this product for a stove of one of our rental properties that has gas stove. We received on time and it worked well since it has small adaptadors to fit different stoves.,No defect
4,B00009V3UF,"These will fit on most models. For my whirlpool, the shafts are too short. I had to order another product with 3/4in shafts. For the price, they should include longer shaft pieces to make everyone happy.",No defect
5,B00009W3GJ,Worked great for directing the venting of the dryer,No defect
4,B00009W3GJ,works well,No defect
4,B00009W3GJ,This did what I needed it to do.  I recommend using the aluminum (metal) tape instead of clamps.,No defect
5,B00009W3GJ,"Qucik shipping, items as described",No defect
5,B00009W3GJ,nice product,No defect
5,B00009W3GJ,ok,No defect
1,B00009W3GJ,"fell apart just trying to adjust angle for installation, then cut hand trying to put back together. REAL piece of junk!!!",No defect
5,B00009W3GJ,works the way it should,Defect
5,B00009W3GJ,Saved money - priced right. Exactly what the store sold but much cheaper. You can't go wrong if you need this piece for your dryer.,No defect
5,B00009W3GJ,Works just fine,No defect
5,B00009W3GJ,Works Good,No defect
5,B00009W3GJ,This universal elbow works great.,No defect
5,B00009W3GJ,Great quality. Did the job perfectly.,No defect
5,B00009W3GJ,Works like a champ!,No defect
5,B00009W3GJ,"Good quality, galvanized, will protect your clothes dryer vent pipe from the effects of a tight bend.",No defect
5,B00009W3GJ,Worked well with the vent pipe. Very easy to fit.,No defect
5,B00009W3GJ,Solid piece and sturdy.,No defect
5,B00009W3GJ,worked great,No defect
5,B00009W3GJ,great,No defect
5,B00009W3GJ,I was impressed with this product!,No defect
5,B0000AYKNT,"I have had this machine for two years and I agree with other positive reviews. But I have another reason for wanting a small washer available--the spin cycle. When hand washing, I use only the spin cycle to remove excess water as my hands do not have the strength to squeeze enough and it takes two days for things to dry. The spinner solves this probem without harm and even sweaters dry quickly.",No defect
5,B0000AYKNT,"This machine has been a life saver..  I use it mostly for light clothing just a couple pieces at a time due to its small size...a week's supply of under shirts, skivvies and socks are no problem....one or two medium towels or maybe one or two sweat suits are fine....no problems within the year that I have it and the clothes come out as clean as our full size unit upstairs second floor, although I have to say the action on the larger loads doesnt seem like it would clean as well as it does.....would I buy the same again...absolutely.....wish they made a similar dryer though....I cant find one anywhere.............",No defect
5,B0000AYKNT,"I purchesd this washer last Summer and I must say that it washes clothes

very well. The only thing I found is that if the hose does not reach your sink, you would have to buy an extension type hose from Home Depot in order for it to reach your sink and also you cannot put too much detergent, just a right amount for washing. I really recommend this washer for those single

people out there who don't want to spend a lot of money in the Laundry.",No defect
5,B0000AYKNT,"I received my machine yesterday and I can't stop washing.  I just love it (so far).  It was easy to set up, except for the bottom panel, which I just put on with 4 screws(oh oh).  I couldn't line them all up.  I've done 4 loads without any problem.  They're clean and I am delighted.  I live in a small apartment and the noise isn't bad at all just like a dishwasher.  I'm especially impressed with the spin cycle, its great.  I have rebalanced the clothes but no big deal.  Its set up in my kitchen and its just perfect.  I've ordered the caster kit from Lowes' can't wait to get that.  I love it even without wheels.",No defect
5,B0000AYKNT,"I bought this a few weeks ago during a Friday Sale.  I would have never considered an item like this, but the reviews were all positive.  I was surprised that it worked so well.  Everything gets so CLEAN! It's super quiet.

I did have a problem with the first couple of loads, as water leaked into the floor.  I decided to try a low sudsing detergent, as suggested by several reviewers and that took care of it.  I bought Method HE (High Efficiency) detergent and it takes just a tiny bit to do a whole load.

My only complaint would be the Jingle Bells tune at the end of the wash. What were they thinking? LOL",No defect
2,B0000AYKNT,"Pro's:

- Lightweight machine is easy to move.

- Washes and spins-dry the clothes very well.

- Does not get unbalanced easily during spin.

Con's:

- I cannot get the machine to both fill and drain with the same exhaust hose setup.  The exhaust hose has to be UP to fill the machine, and DOWN to drain during the spin cycle.

- Machine thus needs to be monitored during the cycle such that I can move the exhaust hose up and down depending on whether it is washing or draining.",Defect
5,B0000AYKNT,This little gem has by far exceeded my expectations. I have experienced NONE of the complaints voiced by some of the other reviews. It gives me clothes that are washed and spun dried the same as my full sized washer used to do. I can highly recommend this product to anyone who wants to do small loads of normal wash.,No defect
5,B0000AYKNT,"I live in an apartment with no washer/dryer hookup, so I have been lugging my laundry over to the laundry facility in the building across to mine for over a year now!

I bought this machine and received it about 3 days later (4 days EARLIER than it was supposed to arrive...nice surprise!).  I have done about 5 loads of laundry in it so far.  Although it does look really small, it can fit a lot in it!  Another bonus is that it doesn't take a long time to do each load.  It's also fairly quiet, considering it's a portable machine!

It's not difficult to set it up, and after I received it, I was doing my first load of laundry about 30 minutes later.

I do have 2 complaints, however:

1) there are no wheels, so it is difficult to move around.  I solved this problem by purchasing those EZ Movers from Home Depot.  That way I am able to slide it around fairly easily.

2) the Jingle Bell buzzer....who's brilliant idea was that?  Although I must say that it is not as loud of a buzzer as I expected it to be.  I guess it will just take some getting used to!

Other than those 2 small issues, I absolutely love this washer and would definitely recommend it to anyone who is in my situation!

Ordering from Amazon was a breeze, and I couldn't believe how fast the free shipping was!  Thanks a lot!",No defect
5,B0000AYKNT,It took very short time for its shipment. And the product is a very good one as we expexted,No defect
4,B0000AYKNT,"Purchased this item for small loads during the week and was surprized at how well it worked. It worked well and most difficulties were in adjusting to a small machine such as amount of detergent and size of load. It fits nicely in the kitchen closet. Wish it had wheels, but isn't that heavy. The greatest feature is the tune Jingle bells. What teenager wants to have Christmas songs while their friends are visiting. Just a little threat to get the wash done or get embarassed. It gets that job done, the machine that is.

  Delivery was quick which in this area is great. Found it in my backyard by the kitchen door and used it that day.",No defect
5,B0000AYKNT,it is excellent to wash baby clothes and towels. hot water for washing and cool water for rinse to save energy. My daughter likes the song very much when the washing finish.,No defect
4,B0000AYKNT,"I've only had two days with my new Haier washer, but I can tell you that it does what it says it does. We can fit two king-size sheets into it, which is our minimum requirement. We've cleaned about twenty loads with it now, and it works flawlessly. The only reason it is four stars instead of five is for the cheazy plastic hose that is included to hook up to your water system. It looks very possible for the cheap tube and plastic connectors to develop a leak. The manufacturer should have provided a hose that was the overall quality of the washer. So, you'll be very surprised at how tiny this guy is, but it sure does the job. Clothes come out fresh and clean, just like out of the big washers. And the spin takes most of the water out so the drying doesn't take all that long.",No defect
5,B0000AYKNT,"I got my Haier XQBM22-C Portable 4.9-Pound-Capacity Pulsator Washing System with Stainless-Steel Tub yesterday - Tuesday, December 20 (from Amazon - with free shipping and a $25.00 ""HoHoHoHo"" discount! - total price: $144.99) - after ordering it just last Friday. Four days from order until arrival is fantastic, especially this time of year. Amazon is truly amazing!

It took but a few minutes to unpack and set up the washer. The process is very easy. I did my first load (""medium"" size) and everything worked to perfection.

Today, however, I tried a ""large"" load and I put in too much Tide(R). Well, you guessed it - suds all over the floor (and you should have heard the comments made about me and my intelligence by my wife!). Haier recommends ""high efficiency"" laundry detergent and they aren't kidding. We'll be buying some tomorrow.

The washer, having no agitator, is very ""easy"" on clothing and its overall washing cycle is rather fast. It performs similarly to a front-loader (or one of the new agitator-less ""high efficiency"" top loaders). The stainless steel drum is a really nice touch - this is usually found only on the most expensive washing machines. It spins rapidly (it even re-balances the load itself in most cases) and extracts the water very well, thus minimizing drying time.

I notice that there are some differences between the operating manual which can be downloaded from Amazon's site and the printed one which is supplied by the manufacturer. The downloaded version is more helpful concerning operation (though the ""setup"" procedure in the printed manual is more accurate).

Though you must clean the lint filter every time, this is really no bother as it is extremely easy and convenient to do. The filter in the water inlet must also be cleaned monthly (depending on use), but this, too is reltively easy to do. (I can't get my fingers in to remove that filter; a pair of long-nose pliers made removing it easy.)

I do wish the unit had wheels - this would make moving it much more convenient, though its handles are well-placed and moving it is not really that big a deal. It is not too heavy and its weight is well-balanced; it is not awkward to carry.

I do have a question - WHO the h*** thought up ""Jingle Bells"" for an end-of-cycle alarm? Oh, brother!!

We bought this machine as an ""extra"" machine to use when we have only small or delicate loads or for use when our ""main"" washing machine breaks down. It is certainly an excellent purchase - the quality is high and the price is definitely right. I think we'll be using this little machine more often than we had initially anticipated.

I recommend it to anyone who has any need at all for a small automatic washer, either for use in an apartment or for an ""extra"" machine, as in our case.

And buy it from Amazon! They're terrific!

(This unit has been discontinued. This&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable-Washer/dp/B002UYSHMM/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer</a>&nbsp;appears to be its successor and should be equivalent.)

==========================================================================

Update: December 14, 2006

I've had this machine for exactly a year now and I am as happy with it as when I first got it. The only issue I had was obtaining the caster kit which took many months to arrive (from PartStore<dot>com - an excellent company with which to deal). But it finally DID arrive and now it is much easier to move the machine next to the sink.

I have nothing but praise, so far, for the machine itself as well as Amazon's sales and service. I have some misgivings about Haier's responsiveness to customers as they would not answer either my questions or queries from PartStore as to when the caster kit would be available. They do make most parts available from PartStore, and other suppliers, so parts should be no problem, if ever needed. I ordered a few extra lint filters as that seems to be proprietary for this machine. Most other parts appear to be ""standard"" types.

==========================================================================

Update: December 17, 2007

It has been almost exactly two years now since we got this machine and I have to say that it remains excellent in all regards. I generally use it for washing underwear and often we use it at the same time we use our larger (regular) washing machine. Then we put both loads in the dryer. This saves us a lot of time.

I have purchased every replaceable item that I can from the above-mentioned PartStore. I was able to get the Caster Kit which makes moving the machine much easier. Unfortunately, that item is no longer being made by Haier - I'm glad I got it when I did. Other than a few proprietary items made for this machine, which I purchased, most of the machine appears to be made of common components which should be easy to obtain in the event of a breakdown.

My wife and I have been very satisfied with this machine, both in terms of its quality, and its price as sold by Amazon. Where else could you get a machine of this capacity and quality at a price of $144.99, which INCLUDES shipping?

As I said above, Amazon is truly amazing!

==========================================================================

Update: December 23, 2008

Well, another year has gone by and my Haier washing machine is still working perfectly.

I bought a number of ""spares"" from PartStore.com ""just in case"" but, so far, I have not had to use any of them.

I must say that the $144.99 I spent for this machine is just about the best $144.99 I have EVER spent!

If this machine is indicative of Haier appliances in general, then I can confidently predict a bright future for them.

The next time I am in the market for any appliance, Haier will definitely be on my ""short list.""

==========================================================================

Update: December 16, 2009

Here I am again. Still another year has gone by and this little washing machine continues to perform as it did when new. What more can I say other than the following: if this product is typical of Haier's quality, then the company is definitely a winner!

==========================================================================

Update: December 17, 2010

As this unit has long-since been discontinued, this will be my final comment on this machine.

It is now five years old and it still works as it did when it was new.

I can think of no better attribute nor can I think of any better compliment.

Haier makes newer models of portable washing machines (all at higher prices, unfortunately). If you are in the market for one, I STRONGLY recommend that you consider this brand. I had read of some peoples' problems with this particular model but I can say absolutely that I have had NOT EVEN ONE issue with it.

I bought a range of spare parts, the ones which are unique to this model - just in case; it seems that that was money wasted. I have never had to use any of them (other than to replace the lint filter once - I am quite careful with it). Most of the parts making up the machine are standard items which can be found in any local plumbing supply store.

Of all the items I have purchased from Amazon over the years, this product is by far the best value.

If and when it breaks down and cannot be repaired (and that eventuality does not appear to be happening any time soon!), I shall buy another Haier model.

I recommend Haier portable washing machines unreservedly.",No defect
5,B0000AYKNT,Still running well after all these years.,No defect
5,B0000AYKNT,"i've had this machine for a week now and am absolutely delighted with it.  i've washed sheets, jeans and towels with no problems at all.  following other reviewer's suggestions, i used just a little bit of detergent (a bit over 1/8 cup) and not only did the clothes come out clean and fresh but there was no leaking at all.  i was a little worried about how long the clothes might take to dry but the machine did such a good job of spinning that they were dry in only a few hours.  assembly was a breeze but i did end up buying an extension for the water filling hose since the 4 foot hose included was not long enough.  jingle bells wasn't as annoying as i'd expected, although really, a beep would've been just fine...",No defect
4,B0000AYKNT,"I feel I made a good decision purchasing the product. I have two suggestions to some of the previous reviewers: 1. Read and FOLLOW the users' manual carefully. 2. Do not overload the machine. Some heavy clothes especially jeans are harder to balance when spinning. This is a problem of any SMALL washers not only for this particular product. My experience is, jamming the machine with more than three jeans is not a good idea, but pants made with softer material are ok. The washer can easily handle a Queen size spread sheet plus some little items.",No defect
3,B0000AYKNT,"Totally agree to those reviews claiming the pro and cons. Such as earthquake-then-stopped ""feature"". Bought this from Amazon for such a low price. I have learned to use it ever since. There are some tips on how to operate this machine more smoothly:

1. never load too much: that's the main cause to a stop. Too much load will lead to unbalanced load especially after the first couple of cycle, and when it spins to let go the remains of last wash, it shakes wildly and the built-in protection mechanism detects this as abnormalty and immediately shut the whole machine out. It's also necessary to have it tended ohterwise when it's left to run by itself while hitting a stop it will be stuck in the middle of washing cycle forever. maximum 70%  load in dry is good.

2. use mesh-bag for delicates protection: the tub really wears off your clothes, not to say tangling of clothes all the time.

3. secure the drain hose as tight as you can. The hose is really hard to attach anywhere, and if it's gone loose, it could spill all water on the floor.

4. manual isn't enough for you to have a good knowledge of operation - you might draw your curve of learning each time you use it.

5. the ending tune - yes, it's jingle bells all the time. I doubt Haier will allow choice of more tunes on this bery basic machine. You've got to appreciate their effort to make attractive to American folks:)

Haier, though not so well known here, is a top Chinese household brand in home appliances. From this washer, it looks it still leaves a lot to be desired to catch up with international giants. Low price isn't all.",Defect
